Date,Crop,Market,Min_Price(₹/Quintal),Max_Price(₹/Quintal),Modal_Price(₹/Quintal)
2024-06-01,Maize,Hazaribagh Mandi,1523,1996,1759
2024-06-01,Bajra,Hazaribagh Mandi,1900,2155,2027
2024-06-01,Sugarcane,Hazaribagh Mandi,1581,2007,1794
2024-06-01,Cotton,Hazaribagh Mandi,1240,1455,1347
2024-06-01,Barley,Hazaribagh Mandi,1147,1473,1310
2024-06-01,Groundnut,Hazaribagh Mandi,1017,1180,1098
2024-06-01,Mustard,Hazaribagh Mandi,1182,1456,1319
2024-06-01,Soybean,Hazaribagh Mandi,1409,1785,1597
2024-06-01,Pulses,Hazaribagh Mandi,1493,1674,1583
2024-06-01,Potato,Hazaribagh Mandi,1506,1836,1671
2024-06-01,Wheat,Jamshedpur Mandi,1970,2122,2046
2024-06-01,Rice,Jamshedpur Mandi,1001,1152,1076
2024-06-01,Maize,Jamshedpur Mandi,2051,2511,2281
2024-06-01,Bajra,Jamshedpur Mandi,1837,2010,1923
2024-06-01,Sugarcane,Jamshedpur Mandi,1596,1825,1710
2024-06-01,Cotton,Jamshedpur Mandi,2195,2619,2407
2024-06-01,Barley,Jamshedpur Mandi,1422,1922,1672
2024-06-01,Groundnut,Jamshedpur Mandi,1465,1682,1573
2024-06-01,Mustard,Jamshedpur Mandi,1816,2288,2052
2024-06-01,Soybean,Jamshedpur Mandi,1350,1580,1465
2024-06-01,Pulses,Jamshedpur Mandi,1485,1753,1619
2024-06-01,Potato,Jamshedpur Mandi,2348,2750,2549
2024-06-02,Wheat,Ranchi Mandi,2367,2806,2586
2024-06-02,Rice,Ranchi Mandi,1928,2241,2084
2024-06-02,Maize,Ranchi Mandi,1096,1317,1206
2024-06-02,Bajra,Ranchi Mandi,1641,1881,1761
2024-06-02,Sugarcane,Ranchi Mandi,2017,2211,2114
2024-06-02,Cotton,Ranchi Mandi,1340,1613,1476
2024-06-02,Barley,Ranchi Mandi,1267,1520,1393
2024-06-02,Groundnut,Ranchi Mandi,1082,1559,1320
2024-06-02,Mustard,Ranchi Mandi,1253,1708,1480
2024-06-02,Soybean,Ranchi Mandi,1379,1832,1605
2024-06-02,Pulses,Ranchi Mandi,1312,1537,1424
2024-06-02,Potato,Ranchi Mandi,1844,2035,1939
2024-06-02,Wheat,Dhanbad Mandi,2361,2738,2549
2024-06-02,Rice,Dhanbad Mandi,1988,2343,2165
2024-06-02,Maize,Dhanbad Mandi,1546,1791,1668
2024-06-02,Bajra,Dhanbad Mandi,1882,2176,2029
2024-06-02,Sugarcane,Dhanbad Mandi,1870,2323,2096
2024-06-02,Cotton,Dhanbad Mandi,1189,1398,1293
2024-06-02,Barley,Dhanbad Mandi,2015,2487,2251
2024-06-02,Groundnut,Dhanbad Mandi,1955,2388,2171
2024-06-02,Mustard,Dhanbad Mandi,1751,1999,1875
2024-06-02,Soybean,Dhanbad Mandi,2453,2798,2625
2024-06-02,Pulses,Dhanbad Mandi,2421,2811,2616
2024-06-02,Potato,Dhanbad Mandi,2156,2506,2331
2024-06-02,Wheat,Bokaro Mandi,1208,1381,1294
2024-06-02,Rice,Bokaro Mandi,1314,1659,1486
2024-06-02,Maize,Bokaro Mandi,1385,1750,1567
2024-06-02,Bajra,Bokaro Mandi,1936,2281,2108
2024-06-02,Sugarcane,Bokaro Mandi,1129,1518,1323
2024-06-02,Cotton,Bokaro Mandi,2075,2343,2209
2024-06-02,Barley,Bokaro Mandi,2365,2757,2561
2024-06-02,Groundnut,Bokaro Mandi,1938,2265,2101
2024-06-02,Mustard,Bokaro Mandi,2398,2608,2503
2024-06-02,Soybean,Bokaro Mandi,2104,2388,2246
2024-06-02,Pulses,Bokaro Mandi,2093,2348,2220
2024-06-02,Potato,Bokaro Mandi,1383,1644,1513
2024-06-02,Wheat,Hazaribagh Mandi,2450,2768,2609
2024-06-02,Rice,Hazaribagh Mandi,2194,2505,2349
2024-06-02,Maize,Hazaribagh Mandi,2330,2599,2464
2024-06-02,Bajra,Hazaribagh Mandi,1475,1725,1600
2024-06-02,Sugarcane,Hazaribagh Mandi,1582,1910,1746
2024-06-02,Cotton,Hazaribagh Mandi,1960,2256,2108
2024-06-02,Barley,Hazaribagh Mandi,1993,2352,2172
2024-06-02,Groundnut,Hazaribagh Mandi,1165,1655,1410
2024-06-02,Mustard,Hazaribagh Mandi,2407,2716,2561
2024-06-02,Soybean,Hazaribagh Mandi,1996,2186,2091
2024-06-02,Pulses,Hazaribagh Mandi,2308,2496,2402
2024-06-02,Potato,Hazaribagh Mandi,2378,2840,2609
2024-06-02,Wheat,Jamshedpur Mandi,1747,1915,1831
2024-06-02,Rice,Jamshedpur Mandi,2038,2411,2224
2024-06-02,Maize,Jamshedpur Mandi,1287,1694,1490
2024-06-02,Bajra,Jamshedpur Mandi,1179,1374,1276
2024-06-02,Sugarcane,Jamshedpur Mandi,1131,1539,1335
2024-06-02,Cotton,Jamshedpur Mandi,1385,1585,1485
2024-06-02,Barley,Jamshedpur Mandi,1673,2060,1866
2024-06-02,Groundnut,Jamshedpur Mandi,1803,2303,2053
2024-06-02,Mustard,Jamshedpur Mandi,1418,1747,1582
2024-06-02,Soybean,Jamshedpur Mandi,2392,2657,2524
2024-06-02,Pulses,Jamshedpur Mandi,1758,2082,1920
2024-06-02,Potato,Jamshedpur Mandi,1849,2135,1992
2024-06-03,Wheat,Ranchi Mandi,1988,2218,2103
2024-06-03,Rice,Ranchi Mandi,1527,1980,1753
2024-06-03,Maize,Ranchi Mandi,1324,1584,1454
2024-06-03,Bajra,Ranchi Mandi,2116,2470,2293
2024-06-03,Sugarcane,Ranchi Mandi,2265,2680,2472
2024-06-03,Cotton,Ranchi Mandi,1201,1414,1307
2024-06-03,Barley,Ranchi Mandi,2015,2300,2157
2024-06-03,Groundnut,Ranchi Mandi,1576,2046,1811
2024-06-03,Mustard,Ranchi Mandi,1304,1654,1479
2024-06-03,Soybean,Ranchi Mandi,2335,2553,2444
2024-06-03,Pulses,Ranchi Mandi,1103,1322,1212
2024-06-03,Potato,Ranchi Mandi,2046,2324,2185
2024-06-03,Wheat,Dhanbad Mandi,1626,2095,1860
2024-06-03,Rice,Dhanbad Mandi,1715,2185,1950
2024-06-03,Maize,Dhanbad Mandi,2323,2595,2459
2024-06-03,Bajra,Dhanbad Mandi,2451,2855,2653
2024-06-03,Sugarcane,Dhanbad Mandi,1133,1325,1229
2024-06-03,Cotton,Dhanbad Mandi,1404,1899,1651
2024-06-03,Barley,Dhanbad Mandi,1366,1771,1568
2024-06-03,Groundnut,Dhanbad Mandi,1314,1561,1437
2024-06-03,Mustard,Dhanbad Mandi,2254,2517,2385
2024-06-03,Soybean,Dhanbad Mandi,1500,1667,1583
2024-06-03,Pulses,Dhanbad Mandi,1125,1547,1336
2024-06-03,Potato,Dhanbad Mandi,2161,2322,2241
2024-06-03,Wheat,Bokaro Mandi,1544,1943,1743
2024-06-03,Rice,Bokaro Mandi,1643,1883,1763
2024-06-03,Maize,Bokaro Mandi,2288,2512,2400
2024-06-03,Bajra,Bokaro Mandi,2399,2816,2607
2024-06-03,Sugarcane,Bokaro Mandi,2170,2529,2349
2024-06-03,Cotton,Bokaro Mandi,1864,2207,2035
2024-06-03,Barley,Bokaro Mandi,1709,2040,1874
2024-06-03,Groundnut,Bokaro Mandi,1624,1966,1795
2024-06-03,Mustard,Bokaro Mandi,1208,1587,1397
2024-06-03,Soybean,Bokaro Mandi,1165,1565,1365
2024-06-03,Pulses,Bokaro Mandi,1396,1609,1502
2024-06-03,Potato,Bokaro Mandi,1151,1334,1242
2024-06-03,Wheat,Hazaribagh Mandi,1861,2027,1944
2024-06-03,Rice,Hazaribagh Mandi,1961,2277,2119
2024-06-03,Maize,Hazaribagh Mandi,1115,1289,1202
2024-06-03,Bajra,Hazaribagh Mandi,1017,1220,1118
2024-06-03,Sugarcane,Hazaribagh Mandi,1559,1912,1735
2024-06-03,Cotton,Hazaribagh Mandi,2185,2592,2388
2024-06-03,Barley,Hazaribagh Mandi,2493,2773,2633
2024-06-03,Groundnut,Hazaribagh Mandi,1952,2380,2166
2024-06-03,Mustard,Hazaribagh Mandi,1805,2099,1952
2024-06-03,Soybean,Hazaribagh Mandi,1614,2069,1841
2024-06-03,Pulses,Hazaribagh Mandi,1294,1531,1412
2024-06-03,Potato,Hazaribagh Mandi,1220,1631,1425
2024-06-03,Wheat,Jamshedpur Mandi,1541,2008,1774
2024-06-03,Rice,Jamshedpur Mandi,1806,2128,1967
2024-06-03,Maize,Jamshedpur Mandi,2454,2765,2609
2024-06-03,Bajra,Jamshedpur Mandi,2426,2706,2566
2024-06-03,Sugarcane,Jamshedpur Mandi,1402,1863,1632
2024-06-03,Cotton,Jamshedpur Mandi,1230,1621,1425
2024-06-03,Barley,Jamshedpur Mandi,2012,2467,2239
2024-06-03,Groundnut,Jamshedpur Mandi,2025,2365,2195
2024-06-03,Mustard,Jamshedpur Mandi,2389,2621,2505
2024-06-03,Soybean,Jamshedpur Mandi,1445,1742,1593
2024-06-03,Pulses,Jamshedpur Mandi,2253,2691,2472
2024-06-03,Potato,Jamshedpur Mandi,1767,2059,1913
2024-06-04,Wheat,Ranchi Mandi,1330,1689,1509
2024-06-04,Rice,Ranchi Mandi,1652,1840,1746
2024-06-04,Maize,Ranchi Mandi,1398,1591,1494
2024-06-04,Bajra,Ranchi Mandi,1205,1409,1307
2024-06-04,Sugarcane,Ranchi Mandi,1576,1898,1737
2024-06-04,Cotton,Ranchi Mandi,1021,1412,1216
2024-06-04,Barley,Ranchi Mandi,1947,2290,2118
2024-06-04,Groundnut,Ranchi Mandi,1561,1732,1646
2024-06-04,Mustard,Ranchi Mandi,1605,1878,1741
2024-06-04,Soybean,Ranchi Mandi,1176,1581,1378
2024-06-04,Pulses,Ranchi Mandi,2222,2527,2374
2024-06-04,Potato,Ranchi Mandi,1456,1665,1560
2024-06-04,Wheat,Dhanbad Mandi,1859,2280,2069
2024-06-04,Rice,Dhanbad Mandi,1004,1429,1216
2024-06-04,Maize,Dhanbad Mandi,2022,2230,2126
2024-06-04,Bajra,Dhanbad Mandi,1963,2295,2129
2024-06-04,Sugarcane,Dhanbad Mandi,1228,1503,1365
2024-06-04,Cotton,Dhanbad Mandi,1016,1402,1209
2024-06-04,Barley,Dhanbad Mandi,1858,2202,2030
2024-06-04,Groundnut,Dhanbad Mandi,2219,2506,2362
2024-06-04,Mustard,Dhanbad Mandi,1705,2114,1909
2024-06-04,Soybean,Dhanbad Mandi,1355,1715,1535
2024-06-04,Pulses,Dhanbad Mandi,1968,2342,2155
2024-06-04,Potato,Dhanbad Mandi,1408,1691,1549
2024-06-04,Wheat,Bokaro Mandi,2218,2688,2453
2024-06-04,Rice,Bokaro Mandi,1234,1554,1394
2024-06-04,Maize,Bokaro Mandi,1300,1652,1476
2024-06-04,Bajra,Bokaro Mandi,1445,1713,1579
2024-06-04,Sugarcane,Bokaro Mandi,1847,2156,2001
2024-06-04,Cotton,Bokaro Mandi,2291,2726,2508
2024-06-04,Barley,Bokaro Mandi,1000,1363,1181
2024-06-04,Groundnut,Bokaro Mandi,1469,1742,1605
2024-06-04,Mustard,Bokaro Mandi,1249,1483,1366
2024-06-04,Soybean,Bokaro Mandi,1950,2224,2087
2024-06-04,Pulses,Bokaro Mandi,1764,1983,1873
2024-06-04,Potato,Bokaro Mandi,2303,2578,2440
2024-06-04,Wheat,Hazaribagh Mandi,1047,1373,1210
2024-06-04,Rice,Hazaribagh Mandi,1769,2154,1961
2024-06-04,Maize,Hazaribagh Mandi,2190,2395,2292
2024-06-04,Bajra,Hazaribagh Mandi,2085,2338,2211
2024-06-04,Sugarcane,Hazaribagh Mandi,1789,2104,1946
2024-06-04,Cotton,Hazaribagh Mandi,1656,1843,1749
2024-06-04,Barley,Hazaribagh Mandi,1279,1523,1401
2024-06-04,Groundnut,Hazaribagh Mandi,1453,1912,1682
2024-06-04,Mustard,Hazaribagh Mandi,1823,2216,2019
2024-06-04,Soybean,Hazaribagh Mandi,1155,1541,1348
2024-06-04,Pulses,Hazaribagh Mandi,2415,2789,2602
2024-06-04,Potato,Hazaribagh Mandi,1898,2367,2132
2024-06-04,Wheat,Jamshedpur Mandi,2140,2417,2278
2024-06-04,Rice,Jamshedpur Mandi,1359,1527,1443
2024-06-04,Maize,Jamshedpur Mandi,2177,2532,2354
2024-06-04,Bajra,Jamshedpur Mandi,1559,1723,1641
2024-06-04,Sugarcane,Jamshedpur Mandi,1987,2218,2102
2024-06-04,Cotton,Jamshedpur Mandi,2453,2810,2631
2024-06-04,Barley,Jamshedpur Mandi,1727,2146,1936
2024-06-04,Groundnut,Jamshedpur Mandi,1559,2017,1788
2024-06-04,Mustard,Jamshedpur Mandi,1412,1783,1597
2024-06-04,Soybean,Jamshedpur Mandi,1879,2149,2014
2024-06-04,Pulses,Jamshedpur Mandi,1503,1983,1743
2024-06-04,Potato,Jamshedpur Mandi,2340,2652,2496
2024-06-05,Wheat,Ranchi Mandi,2383,2596,2489
2024-06-05,Rice,Ranchi Mandi,2265,2488,2376
2024-06-05,Maize,Ranchi Mandi,1497,1800,1648
2024-06-05,Bajra,Ranchi Mandi,1183,1337,1260
2024-06-05,Sugarcane,Ranchi Mandi,1620,2119,1869
2024-06-05,Cotton,Ranchi Mandi,1877,2068,1972
2024-06-05,Barley,Ranchi Mandi,1922,2216,2069
2024-06-05,Groundnut,Ranchi Mandi,1128,1358,1243
2024-06-05,Mustard,Ranchi Mandi,2241,2733,2487
2024-06-05,Soybean,Ranchi Mandi,2362,2741,2551
2024-06-05,Pulses,Ranchi Mandi,1860,2355,2107
2024-06-05,Potato,Ranchi Mandi,1501,1785,1643
2024-06-05,Wheat,Dhanbad Mandi,1739,2019,1879
2024-06-05,Rice,Dhanbad Mandi,1892,2125,2008
2024-06-05,Maize,Dhanbad Mandi,1953,2344,2148
2024-06-05,Bajra,Dhanbad Mandi,1344,1629,1486
2024-06-05,Sugarcane,Dhanbad Mandi,1739,1961,1850
2024-06-05,Cotton,Dhanbad Mandi,2063,2315,2189
2024-06-05,Barley,Dhanbad Mandi,2310,2741,2525
2024-06-05,Groundnut,Dhanbad Mandi,2230,2630,2430
2024-06-05,Mustard,Dhanbad Mandi,1387,1881,1634
2024-06-05,Soybean,Dhanbad Mandi,1602,1969,1785
2024-06-05,Pulses,Dhanbad Mandi,2413,2907,2660
2024-06-05,Potato,Dhanbad Mandi,1854,2057,1955
2024-06-05,Wheat,Bokaro Mandi,1096,1382,1239
2024-06-05,Rice,Bokaro Mandi,1222,1489,1355
2024-06-05,Maize,Bokaro Mandi,2333,2733,2533
2024-06-05,Bajra,Bokaro Mandi,1544,1778,1661
2024-06-05,Sugarcane,Bokaro Mandi,1976,2419,2197
2024-06-05,Cotton,Bokaro Mandi,2365,2719,2542
2024-06-05,Barley,Bokaro Mandi,2380,2778,2579
2024-06-05,Groundnut,Bokaro Mandi,1427,1834,1630
2024-06-05,Mustard,Bokaro Mandi,2450,2923,2686
2024-06-05,Soybean,Bokaro Mandi,1903,2403,2153
2024-06-05,Pulses,Bokaro Mandi,1093,1565,1329
2024-06-05,Potato,Bokaro Mandi,1698,1915,1806
2024-06-05,Wheat,Hazaribagh Mandi,1152,1452,1302
2024-06-05,Rice,Hazaribagh Mandi,1576,1830,1703
2024-06-05,Maize,Hazaribagh Mandi,2325,2792,2558
2024-06-05,Bajra,Hazaribagh Mandi,2440,2699,2569
2024-06-05,Sugarcane,Hazaribagh Mandi,1141,1342,1241
2024-06-05,Cotton,Hazaribagh Mandi,1362,1619,1490
2024-06-05,Barley,Hazaribagh Mandi,2033,2224,2128
2024-06-05,Groundnut,Hazaribagh Mandi,1292,1725,1508
2024-06-05,Mustard,Hazaribagh Mandi,2416,2580,2498
2024-06-05,Soybean,Hazaribagh Mandi,1055,1316,1185
2024-06-05,Pulses,Hazaribagh Mandi,1523,1704,1613
2024-06-05,Potato,Hazaribagh Mandi,2124,2317,2220
2024-06-05,Wheat,Jamshedpur Mandi,2023,2513,2268
2024-06-05,Rice,Jamshedpur Mandi,1426,1902,1664
2024-06-05,Maize,Jamshedpur Mandi,2381,2864,2622
2024-06-05,Bajra,Jamshedpur Mandi,2430,2605,2517
2024-06-05,Sugarcane,Jamshedpur Mandi,1019,1224,1121
2024-06-05,Cotton,Jamshedpur Mandi,1411,1886,1648
2024-06-05,Barley,Jamshedpur Mandi,1797,2273,2035
2024-06-05,Groundnut,Jamshedpur Mandi,2047,2526,2286
2024-06-05,Mustard,Jamshedpur Mandi,1028,1213,1120
2024-06-05,Soybean,Jamshedpur Mandi,1249,1412,1330
2024-06-05,Pulses,Jamshedpur Mandi,1873,2353,2113
2024-06-05,Potato,Jamshedpur Mandi,1533,1805,1669
2024-06-06,Wheat,Ranchi Mandi,2001,2177,2089
2024-06-06,Rice,Ranchi Mandi,1823,2230,2026
2024-06-06,Maize,Ranchi Mandi,2000,2307,2153
2024-06-06,Bajra,Ranchi Mandi,1365,1678,1521
2024-06-06,Sugarcane,Ranchi Mandi,1150,1635,1392
2024-06-06,Cotton,Ranchi Mandi,1414,1854,1634
2024-06-06,Barley,Ranchi Mandi,1941,2273,2107
2024-06-06,Groundnut,Ranchi Mandi,1950,2112,2031
2024-06-06,Mustard,Ranchi Mandi,2176,2669,2422
2024-06-06,Soybean,Ranchi Mandi,1059,1328,1193
2024-06-06,Pulses,Ranchi Mandi,2374,2641,2507
2024-06-06,Potato,Ranchi Mandi,2080,2400,2240
2024-06-06,Wheat,Dhanbad Mandi,2327,2809,2568
2024-06-06,Rice,Dhanbad Mandi,1332,1597,1464
2024-06-06,Maize,Dhanbad Mandi,1349,1669,1509
2024-06-06,Bajra,Dhanbad Mandi,1825,2241,2033
2024-06-06,Sugarcane,Dhanbad Mandi,1458,1670,1564
2024-06-06,Cotton,Dhanbad Mandi,2061,2418,2239
2024-06-06,Barley,Dhanbad Mandi,1698,2105,1901
2024-06-06,Groundnut,Dhanbad Mandi,1708,2076,1892
2024-06-06,Mustard,Dhanbad Mandi,1447,1875,1661
2024-06-06,Soybean,Dhanbad Mandi,1020,1219,1119
2024-06-06,Pulses,Dhanbad Mandi,1166,1517,1341
2024-06-06,Potato,Dhanbad Mandi,2341,2799,2570
2024-06-06,Wheat,Bokaro Mandi,2124,2586,2355
2024-06-06,Rice,Bokaro Mandi,1318,1576,1447
2024-06-06,Maize,Bokaro Mandi,2311,2702,2506
2024-06-06,Bajra,Bokaro Mandi,1119,1609,1364
2024-06-06,Sugarcane,Bokaro Mandi,1656,2089,1872
2024-06-06,Cotton,Bokaro Mandi,1814,2128,1971
2024-06-06,Barley,Bokaro Mandi,1191,1633,1412
2024-06-06,Groundnut,Bokaro Mandi,1414,1827,1620
2024-06-06,Mustard,Bokaro Mandi,1259,1731,1495
2024-06-06,Soybean,Bokaro Mandi,1159,1445,1302
2024-06-06,Pulses,Bokaro Mandi,2147,2488,2317
2024-06-06,Potato,Bokaro Mandi,1478,1805,1641
2024-06-06,Wheat,Hazaribagh Mandi,2008,2492,2250
2024-06-06,Rice,Hazaribagh Mandi,1989,2176,2082
2024-06-06,Maize,Hazaribagh Mandi,2273,2424,2348
2024-06-06,Bajra,Hazaribagh Mandi,1347,1846,1596
2024-06-06,Sugarcane,Hazaribagh Mandi,1757,1918,1837
2024-06-06,Cotton,Hazaribagh Mandi,1032,1307,1169
2024-06-06,Barley,Hazaribagh Mandi,1783,2078,1930
2024-06-06,Groundnut,Hazaribagh Mandi,1379,1854,1616
2024-06-06,Mustard,Hazaribagh Mandi,2344,2544,2444
2024-06-06,Soybean,Hazaribagh Mandi,1982,2223,2102
2024-06-06,Pulses,Hazaribagh Mandi,2378,2579,2478
2024-06-06,Potato,Hazaribagh Mandi,1955,2342,2148
2024-06-06,Wheat,Jamshedpur Mandi,1708,2191,1949
2024-06-06,Rice,Jamshedpur Mandi,1243,1486,1364
2024-06-06,Maize,Jamshedpur Mandi,1379,1621,1500
2024-06-06,Bajra,Jamshedpur Mandi,1848,2190,2019
2024-06-06,Sugarcane,Jamshedpur Mandi,1449,1846,1647
2024-06-06,Cotton,Jamshedpur Mandi,1712,2065,1888
2024-06-06,Barley,Jamshedpur Mandi,2468,2763,2615
2024-06-06,Groundnut,Jamshedpur Mandi,1424,1832,1628
2024-06-06,Mustard,Jamshedpur Mandi,2194,2550,2372
2024-06-06,Soybean,Jamshedpur Mandi,1573,1815,1694
2024-06-06,Pulses,Jamshedpur Mandi,1703,2090,1896
2024-06-06,Potato,Jamshedpur Mandi,1664,2077,1870
2024-06-07,Wheat,Ranchi Mandi,2052,2270,2161
2024-06-07,Rice,Ranchi Mandi,2171,2652,2411
2024-06-07,Maize,Ranchi Mandi,2159,2579,2369
2024-06-07,Bajra,Ranchi Mandi,1824,2302,2063
2024-06-07,Sugarcane,Ranchi Mandi,1173,1420,1296
2024-06-07,Cotton,Ranchi Mandi,2434,2794,2614
2024-06-07,Barley,Ranchi Mandi,1967,2292,2129
2024-06-07,Groundnut,Ranchi Mandi,1474,1880,1677
2024-06-07,Mustard,Ranchi Mandi,2480,2829,2654
2024-06-07,Soybean,Ranchi Mandi,2211,2642,2426
2024-06-07,Pulses,Ranchi Mandi,2039,2524,2281
2024-06-07,Potato,Ranchi Mandi,1119,1548,1333
2024-06-07,Wheat,Dhanbad Mandi,2238,2629,2433
2024-06-07,Rice,Dhanbad Mandi,1877,2115,1996
2024-06-07,Maize,Dhanbad Mandi,2400,2760,2580
2024-06-07,Bajra,Dhanbad Mandi,1081,1506,1293
2024-06-07,Sugarcane,Dhanbad Mandi,1619,1803,1711
2024-06-07,Cotton,Dhanbad Mandi,2074,2305,2189
2024-06-07,Barley,Dhanbad Mandi,1002,1491,1246
2024-06-07,Groundnut,Dhanbad Mandi,1057,1362,1209
2024-06-07,Mustard,Dhanbad Mandi,2177,2402,2289
2024-06-07,Soybean,Dhanbad Mandi,1729,2162,1945
2024-06-07,Pulses,Dhanbad Mandi,2106,2511,2308
2024-06-07,Potato,Dhanbad Mandi,2157,2589,2373
2024-06-07,Wheat,Bokaro Mandi,1646,1840,1743
2024-06-07,Rice,Bokaro Mandi,2379,2637,2508
2024-06-07,Maize,Bokaro Mandi,1993,2235,2114
2024-06-07,Bajra,Bokaro Mandi,2159,2535,2347
2024-06-07,Sugarcane,Bokaro Mandi,1315,1759,1537
2024-06-07,Cotton,Bokaro Mandi,2183,2490,2336
2024-06-07,Barley,Bokaro Mandi,2101,2286,2193
2024-06-07,Groundnut,Bokaro Mandi,1988,2328,2158
2024-06-07,Mustard,Bokaro Mandi,1565,1974,1769
2024-06-07,Soybean,Bokaro Mandi,1611,2028,1819
2024-06-07,Pulses,Bokaro Mandi,2199,2505,2352
2024-06-07,Potato,Bokaro Mandi,2377,2563,2470
2024-06-07,Wheat,Hazaribagh Mandi,1876,2257,2066
2024-06-07,Rice,Hazaribagh Mandi,1205,1680,1442
2024-06-07,Maize,Hazaribagh Mandi,2107,2564,2335
2024-06-07,Bajra,Hazaribagh Mandi,1513,1802,1657
2024-06-07,Sugarcane,Hazaribagh Mandi,1871,2198,2034
2024-06-07,Cotton,Hazaribagh Mandi,1536,1971,1753
2024-06-07,Barley,Hazaribagh Mandi,1977,2422,2199
2024-06-07,Groundnut,Hazaribagh Mandi,1721,1945,1833
2024-06-07,Mustard,Hazaribagh Mandi,2454,2785,2619
2024-06-07,Soybean,Hazaribagh Mandi,2122,2469,2295
2024-06-07,Pulses,Hazaribagh Mandi,1946,2368,2157
2024-06-07,Potato,Hazaribagh Mandi,2229,2704,2466
2024-06-07,Wheat,Jamshedpur Mandi,1491,1768,1629
2024-06-07,Rice,Jamshedpur Mandi,1943,2434,2188
2024-06-07,Maize,Jamshedpur Mandi,1655,2007,1831
2024-06-07,Bajra,Jamshedpur Mandi,2378,2651,2514
2024-06-07,Sugarcane,Jamshedpur Mandi,2152,2552,2352
2024-06-07,Cotton,Jamshedpur Mandi,1637,1902,1769
2024-06-07,Barley,Jamshedpur Mandi,1271,1639,1455
2024-06-07,Groundnut,Jamshedpur Mandi,1640,1989,1814
2024-06-07,Mustard,Jamshedpur Mandi,2197,2633,2415
2024-06-07,Soybean,Jamshedpur Mandi,2488,2858,2673
2024-06-07,Pulses,Jamshedpur Mandi,1040,1540,1290
2024-06-07,Potato,Jamshedpur Mandi,2016,2292,2154
2024-06-08,Wheat,Ranchi Mandi,1380,1766,1573
2024-06-08,Rice,Ranchi Mandi,1033,1358,1195
2024-06-08,Maize,Ranchi Mandi,2186,2685,2435
2024-06-08,Bajra,Ranchi Mandi,2125,2580,2352
2024-06-08,Sugarcane,Ranchi Mandi,1533,1866,1699
2024-06-08,Cotton,Ranchi Mandi,2039,2253,2146
2024-06-08,Barley,Ranchi Mandi,1317,1570,1443
2024-06-08,Groundnut,Ranchi Mandi,2356,2759,2557
2024-06-08,Mustard,Ranchi Mandi,2473,2791,2632
2024-06-08,Soybean,Ranchi Mandi,2386,2643,2514
2024-06-08,Pulses,Ranchi Mandi,2078,2443,2260
2024-06-08,Potato,Ranchi Mandi,1954,2204,2079
2024-06-08,Wheat,Dhanbad Mandi,2383,2700,2541
2024-06-08,Rice,Dhanbad Mandi,1543,1731,1637
2024-06-08,Maize,Dhanbad Mandi,1040,1491,1265
